"","lat","lon","lwp","lwp.25","lwp.75","sat","tdiff","time.rel"
"38",71.306,13.209,50.7453761665445,41.1749973297119,61.0099945068359,"MAC-LWP",0,-5
"39",70.844,13.724,40.9134680158214,31.9444284439087,50.3399963378906,"MAC-LWP",1,-4
"40",70.383,14.214,37.5188035776741,23.459321975708,43.3899993896484,"MAC-LWP",2,-3
"41",69.942,14.697,38.2092033552401,23.3899993896484,52.3099975585938,"MAC-LWP",3,-2
"42",70.383,14.214,36.846682297556,30.3400001525879,41.2299957275391,"MAC-LWP",-3,-3
"43",69.942,14.697,25.9524987538656,20.3399982452393,30.3400001525879,"MAC-LWP",-2,-2
"44",69.531,15.197,22.839398765564,20.3399982452393,27.8399996757507,"MAC-LWP",-1,-1
"45",77.34,7.066,13.1808564605713,4.74942970275879,19.9999980926514,"MAC-LWP",-3,-15
"46",76.531,7.55,43.7824567260742,35.9994316101074,50,"MAC-LWP",-2,-14
"47",75.833,8.135,50.3397049417301,44.6244297027588,55.4056816101074,"MAC-LWP",-1,-13
"48",75.19,8.812,58.8415246327718,50,66.1344299316406,"MAC-LWP",0,-12
"49",74.579,9.519,61.4802149818057,50.9526462554932,70,"MAC-LWP",1,-11
"50",73.982,10.246,54.5521139665083,47.9400024414062,62.3748016357422,"MAC-LWP",2,-10
"51",73.401,10.929,46.6983235549927,40.3399963378906,55.6604347229004,"MAC-LWP",3,-9
"52",78.246,6.588,0,0,0,"MAC-LWP",-2,-16
"53",77.34,7.066,14.3923139118013,5.74942922592163,20.8119297027588,"MAC-LWP",-1,-15
"54",76.531,7.55,42.4523292209791,34.1244316101074,54.2494316101074,"MAC-LWP",0,-14
"55",75.833,8.135,56.9831214178176,52.9994287490845,61.5910968780518,"MAC-LWP",1,-13
"56",75.19,8.812,64.3194703390432,56.3752670288086,69.3994369506836,"MAC-LWP",2,-12
"57",74.579,9.519,63.5099987867402,53.2094306945801,73.2672424316406,"MAC-LWP",3,-11
