"","time","cod","trel"
"179",93480,0,-16.0333333333333
"180",93540,0,-16.0166666666667
"181",93600,0,-16
"182",93660,0,-15.9833333333333
"183",93720,0,-15.9666666666667
"184",93780,0,-15.95
"185",93840,0,-15.9333333333333
"186",93900,0,-15.9166666666667
"187",93960,0,-15.9
"188",94020,0,-15.8833333333333
"189",94080,0,-15.8666666666667
"190",94140,0,-15.85
"191",94200,0,-15.8333333333333
"192",94260,0,-15.8166666666667
"193",94320,0,-15.8
"194",94380,0,-15.7833333333333
"195",94440,0,-15.7666666666667
"196",94500,0,-15.75
"197",94560,0,-15.7333333333333
"198",94620,0,-15.7166666666667
"199",94680,0,-15.7
"200",94740,0,-15.6833333333333
"201",94800,0,-15.6666666666667
"202",94860,0,-15.65
"203",94920,0,-15.6333333333333
"204",94980,0,-15.6166666666667
"205",95040,0,-15.6
"206",95100,0,-15.5833333333333
"207",95160,0,-15.5666666666667
"208",95220,0,-15.55
"209",95280,0,-15.5333333333333
"210",95340,0,-15.5166666666667
"211",95400,0,-15.5
"212",95460,0,-15.4833333333333
"213",95520,0,-15.4666666666667
"214",95580,0,-15.45
"215",95640,0,-15.4333333333333
"216",95700,0,-15.4166666666667
"217",95760,0,-15.4
"218",95820,0,-15.3833333333333
"219",95880,0,-15.3666666666667
"220",95940,0,-15.35
"221",96000,0,-15.3333333333333
"222",96060,0,-15.3166666666667
"223",96120,0,-15.3
"224",96180,0,-15.2833333333333
"225",96240,0,-15.2666666666667
"226",96300,0,-15.25
"227",96360,0,-15.2333333333333
"228",96420,0,-15.2166666666667
"229",96480,0,-15.2
"230",96540,0,-15.1833333333333
"231",96600,0,-15.1666666666667
"232",96660,0,-15.15
"233",96720,0,-15.1333333333333
"234",96780,0,-15.1166666666667
"235",96840,0,-15.1
"236",96900,0,-15.0833333333333
"237",96960,0,-15.0666666666667
"238",97020,0,-15.05
"239",97080,0,-15.0333333333333
"240",97140,0,-15.0166666666667
"241",97200,0,-15
"242",97260,0,-14.9833333333333
"243",97320,0,-14.9666666666667
"244",97380,0,-14.95
"245",97440,0,-14.9333333333333
"246",97500,0,-14.9166666666667
"247",97560,0,-14.9
"248",97620,0,-14.8833333333333
"249",97680,0,-14.8666666666667
"250",97740,0,-14.85
"251",97800,0,-14.8333333333333
"252",97860,0,-14.8166666666667
"253",97920,0,-14.8
"254",97980,0,-14.7833333333333
"255",98040,0,-14.7666666666667
"256",98100,0,-14.75
"257",98160,0,-14.7333333333333
"258",98220,0,-14.7166666666667
"259",98280,0,-14.7
"260",98340,0,-14.6833333333333
"261",98400,0,-14.6666666666667
"262",98460,0,-14.65
"263",98520,0,-14.6333333333333
"264",98580,0,-14.6166666666667
"265",98640,0,-14.6
"266",98700,0,-14.5833333333333
"267",98760,0,-14.5666666666667
"268",98820,0,-14.55
"269",98880,0,-14.5333333333333
"270",98940,0,-14.5166666666667
"271",99000,0,-14.5
"272",99060,0,-14.4833333333333
"273",99120,0,-14.4666666666667
"274",99180,0,-14.45
"275",99240,0,-14.4333333333333
"276",99300,0,-14.4166666666667
"277",99360,0,-14.4
"278",99420,0,-14.3833333333333
"279",99480,0,-14.3666666666667
"280",99540,0,-14.35
"281",99600,0,-14.3333333333333
"282",99660,0,-14.3166666666667
