"","time","lwp","cth","trel"
"207",824,107.345802307129,4720,-17.7711111111111
"208",828,107.345802307129,4690,-17.77
"209",832,128.267303466797,4690,-17.7688888888889
"210",836,128.267303466797,4690,-17.7677777777778
"211",840,128.267303466797,4690,-17.7666666666667
"212",844,128.267303466797,4690,-17.7655555555556
"213",848,128.267303466797,4690,-17.7644444444444
"214",852,99.6187744140625,4690,-17.7633333333333
"215",856,99.6187744140625,4690,-17.7622222222222
"216",860,99.6187744140625,4660,-17.7611111111111
"217",864,99.6187744140625,4660,-17.76
"218",868,99.6187744140625,4660,-17.7588888888889
"219",872,88.1038284301758,4660,-17.7577777777778
"220",876,88.1038284301758,4660,-17.7566666666667
"221",880,88.1038284301758,4660,-17.7555555555556
"222",884,88.1038284301758,4660,-17.7544444444444
"223",888,88.1038284301758,4660,-17.7533333333333
"224",892,59.6109313964844,4660,-17.7522222222222
"225",896,59.6109313964844,4660,-17.7511111111111
"226",900,59.6109313964844,4660,-17.75
"227",904,59.6109313964844,4660,-17.7488888888889
"228",908,59.6109313964844,4660,-17.7477777777778
"229",912,59.2168960571289,4690,-17.7466666666667
"230",916,59.2168960571289,4690,-17.7455555555556
"231",920,59.2168960571289,4690,-17.7444444444444
"232",924,59.2168960571289,4660,-17.7433333333333
"233",928,59.2168960571289,4660,-17.7422222222222
"234",932,38.0525245666504,4660,-17.7411111111111
"235",936,38.0525245666504,4660,-17.74
"236",940,38.0525245666504,4660,-17.7388888888889
"237",944,38.0525245666504,4660,-17.7377777777778
"238",948,38.0525245666504,4630,-17.7366666666667
"239",952,NA,4630,-17.7355555555556
"240",956,NA,4630,-17.7344444444444
"241",960,NA,4630,-17.7333333333333
"242",964,NA,4660,-17.7322222222222
"243",968,NA,4660,-17.7311111111111
"244",972,41.3533134460449,4660,-17.73
"245",976,41.3533134460449,4690,-17.7288888888889
"246",980,41.3533134460449,4690,-17.7277777777778
"247",984,41.3533134460449,4690,-17.7266666666667
"248",988,41.3533134460449,4660,-17.7255555555556
"249",992,17.3817863464355,4660,-17.7244444444444
"250",996,17.3817863464355,4660,-17.7233333333333
"251",1000,17.3817863464355,4660,-17.7222222222222
"252",1004,17.3817863464355,4660,-17.7211111111111
"253",1008,17.3817863464355,4660,-17.72
"254",1012,NA,4660,-17.7188888888889
"255",1016,NA,4660,-17.7177777777778
"256",1020,NA,4690,-17.7166666666667
"257",1024,NA,4690,-17.7155555555556
"258",1028,NA,4690,-17.7144444444444
"259",1032,NA,4690,-17.7133333333333
"260",1036,NA,4690,-17.7122222222222
"261",1040,NA,4720,-17.7111111111111
"262",1044,NA,4720,-17.71
"263",1048,NA,4720,-17.7088888888889
"264",1052,NA,4720,-17.7077777777778
"265",1056,NA,4720,-17.7066666666667
"266",1060,NA,4720,-17.7055555555556
"267",1064,NA,4720,-17.7044444444444
"268",1068,NA,4720,-17.7033333333333
"269",1072,NA,4720,-17.7022222222222
"270",1076,NA,4720,-17.7011111111111
"271",1080,NA,4720,-17.7
"272",1084,NA,4720,-17.6988888888889
"273",1088,NA,4720,-17.6977777777778
"274",1092,NA,4720,-17.6966666666667
"275",1096,NA,4690,-17.6955555555556
"276",1100,NA,4690,-17.6944444444444
"277",1104,NA,4690,-17.6933333333333
"278",1108,NA,4690,-17.6922222222222
"279",1112,NA,4690,-17.6911111111111
"280",1116,NA,4690,-17.69
"281",1120,NA,4690,-17.6888888888889
"282",1124,NA,4690,-17.6877777777778
"283",1128,NA,4690,-17.6866666666667
"284",1132,NA,4690,-17.6855555555556
"285",1136,NA,4690,-17.6844444444444
"286",1140,NA,4690,-17.6833333333333
"287",1144,NA,4690,-17.6822222222222
"288",1148,NA,4690,-17.6811111111111
"289",1152,15.3344812393188,4690,-17.68
"290",1156,15.3344812393188,4690,-17.6788888888889
"291",1160,15.3344812393188,4690,-17.6777777777778
"292",1164,15.3344812393188,4690,-17.6766666666667
"293",1168,15.3344812393188,4690,-17.6755555555556
"294",1172,NA,4690,-17.6744444444444
"295",1176,NA,4690,-17.6733333333333
"296",1180,NA,4690,-17.6722222222222
"297",1184,NA,4720,-17.6711111111111
"298",1188,NA,4720,-17.67
"299",1192,40.1435470581055,4720,-17.6688888888889
"300",1196,40.1435470581055,4720,-17.6677777777778
"301",1200,40.1435470581055,4750,-17.6666666666667
"302",1204,40.1435470581055,4750,-17.6655555555556
"303",1208,40.1435470581055,4750,-17.6644444444444
"304",1212,46.5966415405273,4780,-17.6633333333333
"305",1216,46.5966415405273,4780,-17.6622222222222
"306",1220,46.5966415405273,4780,-17.6611111111111
"307",1224,46.5966415405273,4780,-17.66
"308",1228,46.5966415405273,4780,-17.6588888888889
"309",1232,41.9956512451172,4750,-17.6577777777778
"310",1236,41.9956512451172,4750,-17.6566666666667
"311",1240,41.9956512451172,4750,-17.6555555555556
"312",1244,41.9956512451172,4750,-17.6544444444444
"313",1248,41.9956512451172,4750,-17.6533333333333
"314",1252,103.584266662598,4750,-17.6522222222222
"315",1256,103.584266662598,4750,-17.6511111111111
"316",1260,103.584266662598,4750,-17.65
"317",1264,103.584266662598,4750,-17.6488888888889
"318",1268,103.584266662598,4750,-17.6477777777778
"319",1272,227.904754638672,4750,-17.6466666666667
"320",1276,227.904754638672,4750,-17.6455555555556
"321",1280,227.904754638672,4750,-17.6444444444444
"322",1284,227.904754638672,4780,-17.6433333333333
"323",1288,227.904754638672,4780,-17.6422222222222
"324",1292,206.932693481445,4780,-17.6411111111111
"325",1296,206.932693481445,4780,-17.64
"326",1300,206.932693481445,4780,-17.6388888888889
"327",1304,206.932693481445,4780,-17.6377777777778
"328",1308,206.932693481445,4780,-17.6366666666667
"329",1312,109.930450439453,4780,-17.6355555555556
"330",1316,109.930450439453,4780,-17.6344444444444
"331",1320,109.930450439453,4780,-17.6333333333333
"332",1324,109.930450439453,4780,-17.6322222222222
"333",1328,109.930450439453,4780,-17.6311111111111
"334",1332,271.032592773438,4780,-17.63
"335",1336,271.032592773438,4780,-17.6288888888889
"336",1340,271.032592773438,4780,-17.6277777777778
"337",1344,271.032592773438,4780,-17.6266666666667
"338",1348,271.032592773438,4780,-17.6255555555556
"339",1352,96.4811401367188,4780,-17.6244444444444
"340",1356,96.4811401367188,4780,-17.6233333333333
"341",1360,96.4811401367188,4780,-17.6222222222222
"342",1364,96.4811401367188,4780,-17.6211111111111
"343",1368,96.4811401367188,4780,-17.62
"344",1372,NA,4780,-17.6188888888889
"345",1376,NA,4780,-17.6177777777778
"346",1380,NA,4750,-17.6166666666667
"347",1384,NA,4750,-17.6155555555556
"348",1388,NA,4750,-17.6144444444444
"349",1392,NA,4750,-17.6133333333333
"350",1396,NA,4750,-17.6122222222222
"351",1400,NA,4750,-17.6111111111111
"352",1404,NA,4750,-17.61
"353",1408,NA,4750,-17.6088888888889
"354",1412,NA,4750,-17.6077777777778
"355",1416,NA,4750,-17.6066666666667
