"","lwp","lon","lat","time.rel","sat","tdiff"
"96",42.3096396086232,12.163,72.312,-7,"MAC-LWP",4
"97",38.4771908992479,12.702,71.798,-6,"MAC-LWP",5
"98",0,6.588,78.246,-16,"MAC-LWP",-3
"99",11.8390136446272,7.066,77.34,-15,"MAC-LWP",-2
"100",42.6392077570376,7.55,76.531,-14,"MAC-LWP",-1
"101",50.7534652891613,8.135,75.833,-13,"MAC-LWP",0
"102",59.2527583366217,8.812,75.19,-12,"MAC-LWP",1
"103",61.3687944527132,9.519,74.579,-11,"MAC-LWP",2
"104",53.9668307885891,10.246,73.982,-10,"MAC-LWP",3
"105",49.2597914457321,10.929,73.401,-9,"MAC-LWP",4
"106",41.725241474989,11.563,72.843,-8,"MAC-LWP",5
"107",37.5944720820377,12.702,71.798,-6,"MAC-LWP",-5
"108",40.9318390896446,13.209,71.306,-5,"MAC-LWP",-4
"109",47.0844703473543,13.724,70.844,-4,"MAC-LWP",-3
"110",36.846682297556,14.214,70.383,-3,"MAC-LWP",-2
"111",25.9524987538656,14.697,69.942,-2,"MAC-LWP",-1
"112",22.839398765564,15.197,69.531,-1,"MAC-LWP",0
"113",48.6671418610567,11.563,72.843,-8,"MAC-LWP",-5
"114",50.4888114929199,12.163,72.312,-7,"MAC-LWP",-4
"115",50.827103501872,12.702,71.798,-6,"MAC-LWP",-3
"116",48.653313536393,13.209,71.306,-5,"MAC-LWP",-2
"117",43.5328858400646,13.724,70.844,-4,"MAC-LWP",-1
"118",39.1392874529487,14.214,70.383,-3,"MAC-LWP",0
"119",37.1579736976624,14.697,69.942,-2,"MAC-LWP",1
"120",33.730979494615,15.197,69.531,-1,"MAC-LWP",2
"121",27.0626350749623,15.684,69.141,0,"MAC-LWP",3
"122",52.9830767858596,9.519,74.579,-11,"MAC-LWP",-5
"123",53.055584696623,10.246,73.982,-10,"MAC-LWP",-4
"124",56.3238518081025,10.929,73.401,-9,"MAC-LWP",-3
"125",55.3766455766631,11.563,72.843,-8,"MAC-LWP",-2
"126",55.061648774147,12.163,72.312,-7,"MAC-LWP",-1
"127",56.0035848241103,12.702,71.798,-6,"MAC-LWP",0
"128",50.7453761665445,13.209,71.306,-5,"MAC-LWP",1
"129",40.9134680158214,13.724,70.844,-4,"MAC-LWP",2
"130",37.5188035776741,14.214,70.383,-3,"MAC-LWP",3
"131",38.2092033552401,14.697,69.942,-2,"MAC-LWP",4
"132",35.9063943742027,15.197,69.531,-1,"MAC-LWP",5
"133",41.5659171785627,8.135,75.833,-13,"MAC-LWP",-5
"134",47.0361782680048,8.812,75.19,-12,"MAC-LWP",-4
"135",55.7365604057131,9.519,74.579,-11,"MAC-LWP",-3
"136",56.6666705713863,10.246,73.982,-10,"MAC-LWP",-2
"137",55.1422398522728,10.929,73.401,-9,"MAC-LWP",-1
"138",48.9575194627225,11.563,72.843,-8,"MAC-LWP",0
"139",46.8948254995788,12.163,72.312,-7,"MAC-LWP",1
"140",44.0728818268335,12.702,71.798,-6,"MAC-LWP",2
"141",34.5361785135771,13.209,71.306,-5,"MAC-LWP",3
"142",30.8762846489747,13.724,70.844,-4,"MAC-LWP",4
"143",31.6485702113101,14.214,70.383,-3,"MAC-LWP",5
