"","time","lwp","trel"
"1",6,34.0166625976562,-17.9983333333333
"2",40,34.9032211303711,-17.9888888888889
"3",60,36.2698402404785,-17.9833333333333
"4",80,39.6249961853027,-17.9777777777778
"5",100,42.6769180297852,-17.9722222222222
"6",120,44.0454483032227,-17.9666666666667
"7",140,47.970142364502,-17.9611111111111
"8",160,49.0441131591797,-17.9555555555556
"9",180,48.4492721557617,-17.95
"10",200,47.6714210510254,-17.9444444444444
"11",220,46.9718284606934,-17.9388888888889
"12",240,46.2361068725586,-17.9333333333333
"13",260,45.8082122802734,-17.9277777777778
"14",280,45.6081047058105,-17.9222222222222
"15",300,45.3066635131836,-17.9166666666667
"16",320,45.6578903198242,-17.9111111111111
"17",340,46.4155807495117,-17.9055555555556
"18",360,46.3846092224121,-17.9
"19",380,45.772144317627,-17.8944444444444
"20",400,45.1624946594238,-17.8888888888889
"21",420,44.5061645507812,-17.8833333333333
"22",440,43.878044128418,-17.8777777777778
"23",460,43.2771034240723,-17.8722222222222
"24",480,42.7023735046387,-17.8666666666667
"25",500,42.1294059753418,-17.8611111111111
"26",520,41.5581321716309,-17.8555555555556
"27",540,40.9770050048828,-17.85
"28",560,40.4545402526855,-17.8444444444444
"29",580,39.9325790405273,-17.8388888888889
"30",600,39.5111045837402,-17.8333333333333
"31",620,39.2197723388672,-17.8277777777778
"32",640,39.2197723388672,-17.8222222222222
"33",660,38.4193496704102,-17.8166666666667
"34",680,37.9255256652832,-17.8111111111111
"35",700,37.4315719604492,-17.8055555555556
"36",720,37.4315719604492,-17.8
"37",740,36.5566940307617,-17.7944444444444
"38",760,36.122444152832,-17.7888888888889
"39",780,35.696964263916,-17.7833333333333
"40",800,35.696964263916,-17.7777777777778
"41",820,34.8316764831543,-17.7722222222222
"42",840,34.3823471069336,-17.7666666666667
"43",860,33.9902839660645,-17.7611111111111
"44",880,33.9902839660645,-17.7555555555556
"45",900,33.1809425354004,-17.75
"46",920,32.7735748291016,-17.7444444444444
"47",940,32.3925132751465,-17.7388888888889
"48",960,32.0185089111328,-17.7333333333333
"49",980,31.6697158813477,-17.7277777777778
"50",1000,31.3090782165527,-17.7222222222222
"51",1020,30.9549407958984,-17.7166666666667
"52",1040,30.6249847412109,-17.7111111111111
"53",1060,30.265474319458,-17.7055555555556
"54",1080,29.9648990631104,-17.7
"55",1100,29.6521606445312,-17.6944444444444
"56",1120,29.3361930847168,-17.6888888888889
"57",1140,29.0170803070068,-17.6833333333333
"58",1160,28.6864280700684,-17.6777777777778
"59",1180,28.378137588501,-17.6722222222222
"60",1200,28.0749835968018,-17.6666666666667
"61",1220,28.0166511535645,-17.6611111111111
"62",1240,27.7189979553223,-17.6555555555556
"63",1260,27.7520523071289,-17.65
"64",1280,28.1156883239746,-17.6444444444444
"65",1300,28.3718872070312,-17.6388888888889
"66",1320,28.9504051208496,-17.6333333333333
"67",1340,29.7024707794189,-17.6277777777778
"68",1360,30.314037322998,-17.6222222222222
"69",1380,30.3553657531738,-17.6166666666667
"70",1400,30.3388347625732,-17.6111111111111
"71",1420,30.4297428131104,-17.6055555555556
"72",1440,30.4132137298584,-17.6
"73",1460,30.4132118225098,-17.5944444444444
"74",1480,30.3884143829346,-17.5888888888889
"75",1500,30.4132118225098,-17.5833333333333
"76",1520,30.5289115905762,-17.5777777777778
"77",1540,30.8166542053223,-17.5722222222222
"78",1560,31.7437896728516,-17.5666666666667
"79",1580,32.1074295043945,-17.5611111111111
"80",1600,32.3388366699219,-17.5555555555556
"81",1620,32.2749900817871,-17.55
"82",1640,32.148754119873,-17.5444444444444
"83",1660,31.5785064697266,-17.5388888888889
