"","time.abs","altitude","qv","rh","temp","theta"
"1",14999.999,0,2.25602221488953,70.8299102783203,-2.56359767913818,271.303894042969
"2",14999.999,0.00999999977648258,1.934006690979,66.9057846069336,-3.87347269058228,270.088287353516
"3",14999.999,0.0209999997168779,1.81167483329773,64.4090347290039,-4.25279855728149,269.815582275391
"4",14999.999,0.033100001513958,1.76501107215881,63.8893356323242,-4.51095056533813,269.675048828125
"5",14999.999,0.0464100018143654,1.72186648845673,63.4335899353027,-4.76531553268433,269.550079345703
"6",14999.999,0.0610510036349297,1.68263173103333,62.772102355957,-4.95517015457153,269.502838134766
"7",14999.999,0.0771561041474342,1.64023244380951,61.8596878051758,-5.12487554550171,269.490203857422
"8",14999.999,0.0948717147111893,1.60940003395081,61.5259780883789,-5.33270263671875,269.455078125
"9",14999.999,0.114358887076378,1.58007049560547,61.0643768310547,-5.50762939453125,269.470489501953
"10",14999.999,0.135794773697853,1.542067527771,60.3119201660156,-5.69965410232544,269.487884521484
"11",14999.999,0.159374251961708,1.511674284935,59.9146118164062,-5.91284084320068,269.505126953125
"12",14999.999,0.185311675071716,1.48561954498291,59.8409385681152,-6.16709756851196,269.504241943359
"13",14999.999,0.213842839002609,1.45266616344452,59.4904632568359,-6.43029022216797,269.519989013672
"14",14999.999,0.245227128267288,1.40263688564301,58.1966018676758,-6.65180540084839,269.606109619141
"15",14999.999,0.279749840497971,1.34802830219269,56.6713256835938,-6.87932109832764,269.717376708984
"16",14999.999,0.317724823951721,1.30961608886719,56.0039405822754,-7.16324758529663,269.805908203125
"17",14999.999,0.359497308731079,1.2763866186142,55.7468032836914,-7.50516986846924,269.873291015625
"18",14999.999,0.405447036027908,1.23731625080109,55.2688865661621,-7.87077522277832,269.958251953125
"19",14999.999,0.455991744995117,1.1756546497345,53.667781829834,-8.23277950286865,270.092712402344
"20",14999.999,0.511590957641602,1.11585819721222,52.5166053771973,-8.71475505828857,270.1552734375
"21",14999.999,0.572750091552734,1.0892049074173,52.9145126342773,-9.22010231018066,270.249450683594
"22",14999.999,0.64002513885498,1.13039708137512,57.1395950317383,-9.83598136901855,270.291564941406
"23",14999.999,0.71402770280838,1.19621622562408,63.4141235351562,-10.5598659515381,270.290069580078
"24",14999.999,0.795430541038513,1.27927303314209,71.4881057739258,-11.3561010360718,270.288360595703
"25",14999.999,0.884973645210266,1.39591550827026,82.6979370117188,-12.2318677902222,270.286590576172
"26",14999.999,0.983471035957336,1.4751501083374,93.2508392333984,-13.1951503753662,270.28466796875
"27",14999.999,1.09181821346283,1.33012402057648,90.3998184204102,-14.2546243667603,270.282684326172
"28",14999.999,1.21100008487701,1.22859609127045,90.4906234741211,-15.4195775985718,270.280944824219
"29",14999.999,1.34210014343262,1.13370656967163,91.3112487792969,-16.7002239227295,270.279327392578
"30",14999.999,1.48631024360657,1.03429698944092,92.0271987915039,-18.1080894470215,270.276672363281
"31",14999.999,1.64494132995605,0.954272568225861,94.8758239746094,-19.6555156707764,270.272033691406
"32",14999.999,1.81943547725677,0.86640602350235,97.5093460083008,-21.3560676574707,270.265167236328
"33",14999.999,2.01137900352478,0.773023009300232,99.9395904541016,-23.2249164581299,270.256866455078
"34",14999.999,2.2225170135498,0.676156640052795,100.058288574219,-25.0539455413818,270.492614746094
"35",14999.999,2.45476889610291,0.588169872760773,100.07299041748,-26.9360408782959,270.895751953125
"36",14999.999,2.71024608612061,0.500980377197266,100.089485168457,-29.0488758087158,271.296905517578
"37",14999.999,2.99127101898193,0.417872369289398,100.103401184082,-31.3816432952881,271.736694335938
"38",14999.999,3.30039834976196,0.34533679485321,100.110412597656,-33.804443359375,272.394592285156
"39",14999.999,3.64043831825256,0.279251158237457,100.108711242676,-36.4393730163574,273.170166015625
"40",14999.999,4.01448249816895,0.15840345621109,70.3183746337891,-39.076042175293,274.347320556641
"41",14999.999,4.42593097686768,0.110931590199471,62.272087097168,-41.9057197570801,275.753570556641
"42",14999.999,4.87852430343628,0.0202244147658348,13.6662168502808,-44.2668380737305,278.236541748047
"43",14999.999,5.37637710571289,0.0100500471889973,7.85543251037598,-46.2812652587891,281.734436035156
"44",14999.999,5.92401504516602,0.0143513791263103,13.4076442718506,-48.6187400817871,285.510681152344
"45",14999.999,6.52641677856445,0.0101406797766685,11.9079456329346,-51.4163093566895,289.482940673828
"46",14999.999,7.18905878067017,0.0100028915330768,13.4646091461182,-53.4496994018555,295.364440917969
"47",14999.999,7.91796493530273,0.00801534298807383,10.8710765838623,-54.4629440307617,303.702056884766
"48",14999.999,8.71976184844971,0.00451610004529357,5.3069224357605,-54.3102149963379,314.981140136719
"49",14999.999,9.60173797607422,0.00162622181233019,1.51116383075714,-53.4942779541016,328.819641113281
"50",14999.999,10.5719118118286,0.00277776713483036,2.02462434768677,-52.7151870727539,344.512969970703
"51",14999.999,11.639102935791,0.00362759875133634,2.26949739456177,-52.8226280212402,361.028045654297
"52",14999.999,12.8130130767822,0.00531705422326922,3.299968957901,-54.2873077392578,377.815277099609
"53",14999.999,14.1043138504028,0.00598529493436217,3.21338987350464,-54.7534484863281,399.317657470703
"54",14999.999,15.5247449874878,0.00651927152648568,3.05713677406311,-55.4662437438965,424.044677734375
"55",14999.999,17.0872192382812,0.00685311853885651,2.77689290046692,-56.2717361450195,453.048156738281
"56",15899.999,0,2.30342960357666,74.3254776000977,-2.93055438995361,270.922637939453
"57",15899.999,0.00999999977648258,1.85563051700592,67.3115463256836,-4.49972867965698,269.447082519531
