"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"1",83.2354941014433,-3.21409100903636,0,430.194360799343,-32.7155437858454,0,NA,3,-23.6666666666667,88.1224816753927,-34.42000198327,-33.0500020138919,0,0,NA,NA,50,100,0,0,0,"MODIS"
"2",82.77362143266,-1.78624085385071,0,124.428124247532,-32.7606750256236,0,NA,2,-23.0833333333333,90.4981402439024,-34.3500019848346,-33.1000020127743,0,0,NA,NA,0,100,0,0,0,"MODIS"
"3",81.9971076885026,0.15308288510312,0,2460.99685204617,-35.457585778334,0,NA,3,-22.0833333333333,90.4895410729254,-35.850001951307,-34.5100019812584,0,0,NA,NA,250,3650,0,0,0,"MODIS"
"4",83.0375486719647,-2.60215522824251,0,0,-32.7663770529353,0,NA,0,-23.4166666666667,93.3936432886787,-33.6100020013749,-33.5000020038336,0,0,NA,NA,0,0,0,0,0,"MODIS"
"5",82.2554829373503,-0.477951713208108,0,178.588152657457,-32.7241882720858,0,NA,1,-22.4166666666667,93.7243694209201,-34.2300019875169,-33.0200020145625,0,0,NA,NA,0,100,0,0,0,"MODIS"
"6",81.5043412197978,1.21464904134653,0,1424.23250102333,-34.311277609941,0,NA,2,-21.4166666666667,94.0423278488726,-35.7000019546598,-33.9000019948929,0,0,NA,NA,50,3650,0,0,0,"MODIS"
"7",80.7768760856463,2.57412683154249,0,533.305493689681,-33.6994564006483,0,NA,3,-20.4166666666667,94.3447993341964,-34.2600019868463,-33.0500020138919,0,0,NA,NA,50,500,0,0,0,"MODIS"
"8",83.3674577210956,-3.62204819623226,0,0,-32.7903980800525,0,NA,-2,-23.8333333333333,95.959196975153,-33.6900019995868,-33.6300020009279,0,0,NA,NA,0,0,0,0,0,"MODIS"
"9",82.57845199841,-1.26674496109714,0,0,-32.955437209457,0,NA,-1,-22.8333333333333,96.5804320203304,-33.7000019993633,-32.3000020306557,0,0,NA,NA,0,0,0,0,0,"MODIS"
"10",81.8101788315784,0.569072250871099,0,3.21670428893905,-32.2362689177707,0,NA,0,-21.8333333333333,97.1765596846847,-32.43000202775,-32.3000020306557,0,0,NA,NA,0,0,0,0,0,"MODIS"
"11",81.0780386016255,2.06419754602783,0,179.084720121029,-33.0189009215812,0,NA,1,-20.8333333333333,97.7458765989466,-33.9900019928813,-32.8000020194798,0,0,NA,NA,50,100,0,0,0,"MODIS"
"12",80.35778892421,3.22828733641349,0,361.208665906499,-33.0406963502539,0,NA,2,-19.8333333333333,98.2879078738371,-33.8300019964576,-32.2100020326674,0,0,NA,NA,50,500,0,0,0,"MODIS"
"13",79.6536031828293,4.05813994585872,0,2018.80544666804,-34.7675174377141,0,NA,3,-18.8333333333333,98.7932536082474,-36.2400019425899,-32.2100020326674,0,0,NA,NA,250,3700,0,0,0,"MODIS"
"14",82.8396032424862,-1.99021944744866,0,0,-33.3200020078579,0,NA,-3,-23.1666666666667,98.6487701396348,-33.9300019942224,-33.7700019977987,0,0,NA,NA,0,0,0,0,0,"MODIS"
"15",82.0617015007145,-0.00467576447468732,0,0,-32.6705483882892,0,NA,-2,-22.1666666666667,99.4264310776942,-32.8700020179152,-32.5000020261854,0,0,NA,NA,0,0,0,0,0,"MODIS"
"16",81.3208386527294,1.60199511563179,0,0,-32.0187874811766,0,NA,-1,-21.1666666666667,100.16511342155,-32.8700020179152,-31.580002046749,0,0,NA,NA,0,0,0,0,0,"MODIS"
"17",80.5961785760588,2.88008440285129,0,84.1800356506239,-31.9499396498889,0,NA,0,-20.1666666666667,100.880472370766,-32.2300020322203,-31.580002046749,0,0,NA,NA,0,100,0,0,0,"MODIS"
"18",79.8860903423812,3.80521221383881,0,462.728820774798,-32.9667963963392,0,NA,1,-19.1666666666667,101.562988505747,-33.4100020058453,-32.1100020349025,0,0,NA,NA,300,300,0,0,0,"MODIS"
"19",79.1953531264506,4.49292599651302,0,2281.21480289622,-31.9942498251003,0,NA,2,-18.1666666666667,102.215884955752,-32.8575020181946,-31.5900020465255,0,0,NA,NA,1600,2950,0,0,0,"MODIS"
"20",78.5149330296242,5.12419209310343,0,3179.89357658685,-32.3031985338145,0,NA,3,-17.1666666666667,102.856408209806,-33.1900020107627,-31.5900020465255,0,0,NA,NA,2950,3450,0,0,0,"MODIS"
"21",74.8514727023935,9.04624535969066,0.897311591009255,2883.71529308065,-24.3356787181487,84.8061329656075,246.030397137398,-3,-11.5,79.6201322168356,-26.2300021663308,-23.1100022360682,14.2999996803701,149.999996647239,30.8137908570085,367.43327606799,2550,3250,0.820690677338076,0.980792160065333,95.1399978734553,"MODIS"
"22",74.2501742178082,9.64416608396601,0.84468438538206,3158.88704318937,-25.6786940391196,79.8517548596924,149.743766789902,-2,-10.5,79.014530730897,-27.3300021417439,-23.7700022213161,8.23749981587753,149.999996647239,14.8079161797753,182.603359450435,3000,3500,0.761719588894002,0.920466595970307,67.6399984881282,"MODIS"
"23",73.6641416481608,10.1887882263257,0.774821286735504,3216.18347895155,-25.450796464924,73.9386123266919,93.9434249817119,-1,-9.5,78.4230301826847,-28.1700021229684,-22.8100022427737,3.85249991388991,149.999996647239,6.79930977871057,101.940547806389,2800,3500,0.63885363940971,0.863905325443787,41.8549990644678,"MODIS"
