"","lat","lon","cth","cod","sat","tdiff","time.rel","sza","cod.25","cod.75","cth.25","cth.75","cod.me"
"1",79.6868333333333,5.80781666666667,NA,NA,"SENTINEL",-3,-17.4833333333333,99.2938088901707,NA,NA,NA,NA,NA
"2",78.7158,6.35551666666667,NA,NA,"SENTINEL",-2,-16.4833333333333,99.805860710144,NA,NA,NA,NA,NA
"3",77.7779,6.83496666666667,NA,NA,"SENTINEL",-1,-15.4833333333333,100.293794222405,NA,NA,NA,NA,NA
"4",76.9220166666667,7.31606666666667,NA,NA,"SENTINEL",0,-14.4833333333333,100.716842944805,NA,NA,NA,NA,NA
"5",76.1703666666667,7.85225,NA,NA,"SENTINEL",1,-13.4833333333333,101.051338985713,NA,NA,NA,NA,NA
"6",75.5007833333333,8.48478333333333,NA,NA,"SENTINEL",2,-12.4833333333333,101.303562486028,NA,NA,NA,NA,NA
"7",74.8743166666667,9.17728333333333,NA,NA,"SENTINEL",3,-11.4833333333333,101.507554580118,NA,NA,NA,NA,NA
"8",78.0648,6.6836,NA,NA,"SENTINEL",-3,-15.8,95.4469517364963,NA,NA,NA,NA,NA
"9",77.1782,7.1628,NA,NA,"SENTINEL",-2,-14.8,95.5266171848073,NA,NA,NA,NA,NA
"10",76.3914,7.667,NA,NA,"SENTINEL",-1,-13.8,95.5689596758631,NA,NA,NA,NA,NA
"11",75.7044,8.2704,NA,NA,"SENTINEL",0,-12.8,95.5507389092297,NA,NA,NA,NA,NA
"12",75.0678,8.9534,NA,NA,"SENTINEL",1,-11.8,95.4906015865138,NA,NA,NA,NA,NA
"13",74.4596,9.6644,NA,NA,"SENTINEL",2,-10.8,95.405535824649,NA,NA,NA,NA,NA
"14",73.8658,10.3826,NA,NA,"SENTINEL",3,-9.8,95.3003279725264,NA,NA,NA,NA,NA
"15",76.6119,7.5016,NA,NA,"SENTINEL",-3,-14.1,89.7899650280292,NA,NA,NA,NA,NA
"16",75.9028,8.0765,NA,NA,"SENTINEL",-2,-13.1,89.4984443448333,NA,NA,NA,NA,NA
"17",75.2543,8.7443,2314.27828818873,12.839483921988,"SENTINEL",-1,-12.1,89.1809702710814,9.97760009765625,15.2259845733643,2011.15246582031,2669.72314453125,12.250506401062
"18",74.6401,9.4483,2503.32313825499,12.3437542765395,"SENTINEL",0,-11.1,88.851977902367,9.02194738388062,14.7248635292053,2057.29663085938,2955.93005371094,11.4977073669434
"19",74.0417,10.1733,2926.44982785595,12.2940254406053,"SENTINEL",1,-10.1,88.5124309695497,7.78727269172668,13.6016285419464,2494.14282226562,3400.52398681641,9.65426778793335
"20",73.4591,10.8607,2423.9561920166,20.0125046446517,"SENTINEL",2,-9.1,88.1724123980548,12.550802230835,23.988899230957,1946.81567382812,2958.07202148438,17.7591438293457
"21",72.8988,11.4996,3490.2988060641,14.5927663007414,"SENTINEL",3,-8.1,87.8383395643119,7.343421459198,18.4767408370972,2791.56311035156,4254.04016113281,11.0322246551514
"22",75.4579166666667,8.52991666666667,2370.6486764959,46.4842855007712,"SENTINEL",-3,-12.4166666666667,83.6674412986785,22.6813449859619,55.2776412963867,2194.82373046875,2567.00390625,34.244026184082
"23",74.8335833333333,9.22441666666667,2426.27017881812,37.2357197777043,"SENTINEL",-2,-11.4166666666667,83.1409534361304,18.6784830093384,42.7396202087402,2337.00262451172,2542.46459960938,27.9079456329346
"24",74.23075,9.94308333333333,2525.05292507712,33.7594723762872,"SENTINEL",-1,-10.4166666666667,82.6206279312592,15.6812744140625,42.3585395812988,2467.59301757812,2617.91040039062,25.7182559967041
"25",73.6430833333333,10.6444166666667,2596.68737905997,28.0128715413588,"SENTINEL",0,-9.41666666666667,82.1000773111979,13.6915323734283,35.7579755783081,2526.48815917969,2683.07110595703,22.8264560699463
"26",73.0755,11.2988333333333,2696.22667742473,28.2261208697063,"SENTINEL",1,-8.41666666666667,81.5932539777058,10.131534576416,33.2656669616699,2621.830078125,2804.39135742188,18.9835777282715
"27",72.53325,11.913,2864.34293937683,32.0450912918895,"SENTINEL",2,-7.41666666666667,81.1126666466395,6.60082304477692,33.6228151321411,2662.48754882812,2994.84405517578,14.6774716377258
"28",72.0121666666667,12.4774166666667,3239.60426423299,26.8660406019148,"SENTINEL",3,-6.41666666666667,80.6406309011891,5.59059810638428,29.9002113342285,2996.82495117188,3524.76391601562,12.0619468688965
"29",74.40985,9.72498333333333,2084.9978741518,55.7053240402458,"SENTINEL",-3,-10.7166666666667,78.611116625599,33.4894113540649,69.2899055480957,1892.24429321289,2218.81640625,48.0649662017822
"30",73.8173833333333,10.4395166666667,2117.59295914021,55.0409897198068,"SENTINEL",-2,-9.71666666666667,77.9914373844228,30.0342245101929,64.1703224182129,1919.68203735352,2279.66760253906,41.6974258422852
"31",73.2429,11.1086333333333,2172.04251539261,52.5210773779109,"SENTINEL",-1,-8.71666666666667,77.3983290361211,23.4465203285217,62.2925395965576,1923.94769287109,2380.60626220703,35.3265171051025
"32",72.69255,11.733,2193.87491901429,52.4434374930786,"SENTINEL",0,-7.71666666666667,76.825859344567,20.9791316986084,63.7744827270508,1926.89270019531,2413.7509765625,32.0718154907227
"33",72.1663666666667,12.3157166666667,2344.48281979694,49.4642175256207,"SENTINEL",1,-6.71666666666667,76.2768189201142,17.476450920105,54.1687564849854,1965.32089233398,2621.64074707031,30.3907251358032
"34",71.6586,12.84565,2670.34670898437,48.3356966631753,"SENTINEL",2,-5.71666666666667,75.7506935141365,15.5856409072876,52.6247644424438,2278.31457519531,3039.52984619141,26.7919406890869
"35",71.1751,13.3549166666667,2947.15179549201,51.9540032858104,"SENTINEL",3,-4.71666666666667,75.2447533511291,15.2656188011169,59.2826366424561,2506.84625244141,3316.62310791016,28.2194290161133
"36",73.4203666666667,10.9062333333333,2037.44606315316,58.8899885053758,"SENTINEL",-3,-9.03333333333333,76.0601839932528,31.6479721069336,70.0236434936523,1801.71484375,2220.70776367188,46.6143455505371
"37",72.8616,11.5418666666667,2107.89683796885,64.0056797638728,"SENTINEL",-2,-8.03333333333333,75.4978691120788,27.4548072814941,73.9075927734375,1820.45501708984,2383.01428222656,43.07373046875
"38",72.3297,12.143,2124.89447677105,67.8155350770487,"SENTINEL",-1,-7.03333333333333,74.9864301292264,25.2667951583862,80.6812210083008,1771.26831054688,2439.18774414062,42.4170227050781
"39",71.8151333333333,12.6840333333333,2137.56083088784,60.0044206147218,"SENTINEL",0,-6.03333333333333,74.4684611538,22.9091114997864,72.295783996582,1778.18185424805,2468.68115234375,38.086311340332
"40",71.3224,13.1921,2331.11334296669,60.2392119533075,"SENTINEL",1,-5.03333333333333,73.9961303785919,20.7117414474487,67.877986907959,1883.42907714844,2747.12646484375,35.5239219665527
