"","lat","lon","cth","ctt","cod","nd","sat","tdiff","time.rel"
"58",72.2092,12.2708,2980.17751277683,233.854478819958,30.9478026358607,NA,"VIIRS",-1,-6.8
"59",71.6996,12.8034,2816.94283246978,231.867137989704,25.1659459020388,NA,"VIIRS",0,-5.8
"60",71.2136,13.312,2957.06107966546,234.790837851199,24.1422613268608,NA,"VIIRS",1,-4.8
"61",70.7518,13.822,3649.82225828493,229.82817995901,26.9614392079856,NA,"VIIRS",2,-3.8
"62",70.2948,14.3106,3836.23729987019,227.13675740557,28.9522056028427,NA,"VIIRS",3,-2.8
"63",72.3651,12.103,NA,NA,NA,NA,"VIIRS",-3,-7.1
"64",71.8494,12.6481,NA,NA,NA,NA,"VIIRS",-2,-6.1
"65",86.1041,5.2911,5206.47624309392,131.466105042423,NA,NA,"VIIRS",3,-23.9
"66",83.6574,3.731,6089.85714285714,1.85976390633992,NA,NA,"VIIRS",-3,-21.4
"67",82.6424,4.1246,6303.49096880131,23.8833668708336,NA,NA,"VIIRS",-2,-20.4
"68",81.6154,4.6868,6732.23148148148,49.4794456709601,NA,NA,"VIIRS",-1,-19.4
"69",80.594,5.2624,6627.66576819407,62.0022012746769,NA,NA,"VIIRS",0,-18.4
"70",79.606,5.8594,6213.80187525479,158.008755755363,NA,NA,"VIIRS",1,-17.4
"71",78.6348,6.3956,5605.19650793651,196.952194244938,NA,NA,"VIIRS",2,-16.4
"72",77.7024,6.8748,5216.24362161455,227.569511004827,NA,NA,"VIIRS",3,-15.4
"73",78.5376,6.4437,NA,NA,NA,NA,"VIIRS",2,-16.3
"74",77.6118,6.9226,NA,NA,NA,NA,"VIIRS",3,-15.3
"75",81.9247,4.5089,6879.52064631957,96.1661507960845,NA,NA,"VIIRS",-3,-19.7
"76",80.8985,5.0932,6097.56050955414,11.1921978279824,NA,NA,"VIIRS",-2,-18.7
"77",79.897,5.6737,5662.20817843866,44.5005619708044,NA,NA,"VIIRS",-1,-17.7
"78",78.9264,6.2513,4310.6518597237,144.581915635846,NA,NA,"VIIRS",0,-16.7
"79",77.9742,6.7314,4706.99071602646,231.364475438153,NA,NA,"VIIRS",1,-15.7
"80",77.0973,7.2112,5539.57182748992,225.610076931648,NA,NA,"VIIRS",2,-14.7
"81",76.3216,7.7255,3913.02589210056,235.749451766656,NA,NA,"VIIRS",3,-13.7
"82",77.0164,7.2596,NA,NA,NA,NA,"VIIRS",2,-14.6
"83",76.2518,7.784,1951.24,247.023482355922,NA,NA,"VIIRS",3,-13.6
"84",80.188,5.488,6005.18490245971,33.0862952634407,NA,NA,"VIIRS",-3,-18
"85",79.218,6.107,5554.83810057955,131.952678970799,NA,NA,"VIIRS",-2,-17
"86",78.246,6.588,2252.94948259643,244.064309628086,NA,NA,"VIIRS",-1,-16
"87",77.34,7.066,2438.61429278759,243.987172785533,NA,NA,"VIIRS",0,-15
"88",76.531,7.55,4055.63816530291,235.599581074126,NA,NA,"VIIRS",1,-14
"89",75.833,8.135,4047.916608072,235.446240630579,NA,NA,"VIIRS",2,-13
"90",75.19,8.812,4092.10998854988,234.656098349445,NA,NA,"VIIRS",3,-12
"91",78.5376,6.4437,3121.02703198021,228.620598324083,NA,NA,"VIIRS",-3,-16.3
"92",77.6118,6.9226,1618.44438792811,246.235835669024,NA,NA,"VIIRS",-2,-15.3
"93",76.7737,7.4048,2073.05485125085,245.053598379647,NA,NA,"VIIRS",-1,-14.3
"94",76.0424,7.9595,2197.95548859234,245.587904354767,NA,NA,"VIIRS",0,-13.3
"95",75.3829,8.6089,2227.72546026044,245.476531200031,NA,NA,"VIIRS",1,-12.3
"96",74.7623,9.3069,3217.33345192564,240.085118755271,NA,NA,"VIIRS",2,-11.3
"97",74.1611,10.0279,3912.10388702461,235.8440536707,NA,NA,"VIIRS",3,-10.3
